U.S. Census Bureau,
Source: Advance Monthly Sales for Retail and Food Services,
4451: Grocery Stores: U.S. Total,
Not Seasonally Adjusted Sales - Monthly [Millions of Dollars],
Period: 2021 to 2025,
Data Extracted on: October 14, 2025 (3:12 am)
,
Period,Value
Jan-21,63473
Feb-21,57967
Mar-21,63609
Apr-21,62593
May-21,66993
Jun-21,65591
Jul-21,67853
Aug-21,67414
Sep-21,65925
Oct-21,68458
Nov-21,67787
Dec-21,72364
Jan-22,68645
Feb-22,62914
Mar-22,69207
Apr-22,69280
May-22,72406
Jun-22,71739
Jul-22,73433
Aug-22,72174
Sep-22,70554
Oct-22,72959
Nov-22,73557
Dec-22,77566
Jan-23,71401
Feb-23,66738
Mar-23,72628
Apr-23,71428
May-23,74526
Jun-23,72344
Jul-23,74151
Aug-23,74166
Sep-23,72032
Oct-23,72725
Nov-23,74018
Dec-23,77484
Jan-24,72355
Feb-24,68885
Mar-24,74506
Apr-24,70496
May-24,76465
Jun-24,73686
Jul-24,75931
Aug-24,75923
Sep-24,72532
Oct-24,75667
Nov-24,76232
Dec-24,78601
Jan-25,76065
Feb-25,69314
Mar-25,75275
Apr-25,NA
May-25,NA
Jun-25,NA
Jul-25,NA
Aug-25,NA
Sep-25,NA
Oct-25,NA
Nov-25,NA
Dec-25,NA
